  Num,     Heure,          Camion,          Contrat,       Formule, Tank Bit,   Poids Agrégat 1,   Poids Agrégat 2,   Poids Agrégat 3,   Poids Agrégat 4,   Poids Agrégat 5,   Poids Agrégat 6,Poids Filler    Apport,   Poids Agg Total,   Poids      Bitume,   Poids      Dope 1,   Poids       Total,     % Agrégat 1,     % Agrégat 2,     % Agrégat 3,     % Agrégat 4,     % Agrégat 5,     % Agrégat 6,  % Filler    Apport,     %         Bitume,     %         Dope 1,   Temp.     Bitume,   Temp.    Enrobés,Durée malax.     humide,   Durée      Cycle,    Silo     Stockage
1,10:05:21 AM,djl,"",3009,3,1438,764,0,0,0,0,80.1,2282,136.0,0.5,2419,63.02,33.47,0.00,0.00,0.00,0.00,3.51,5.62,0.40,0,167,32,90,0
2,10:06:20 AM,djl,"",3009,3,1457,757,0,0,0,0,71.2,2286,133.7,0.5,2420,63.75,33.13,0.00,0.00,0.00,0.00,3.12,5.53,0.41,0,153,32,59,0
3,10:07:18 AM,djl,"",3009,3,1475,744,0,0,0,0,82.4,2301,134.3,0.5,2436,64.11,32.31,0.00,0.00,0.00,0.00,3.58,5.51,0.41,0,144,32,59,0
4,10:08:17 AM,djl,"",3009,3,1488,748,0,0,0,0,82.2,2318,134.9,0.5,2453,64.19,32.27,0.00,0.00,0.00,0.00,3.54,5.50,0.41,0,143,32,59,0
5,10:09:15 AM,djl,"",3009,3,1470,759,0,0,0,0,84.2,2313,135.4,0.5,2449,63.56,32.80,0.00,0.00,0.00,0.00,3.64,5.53,0.40,0,141,32,59,0
6,10:10:14 AM,djl,"",3009,3,1465,765,0,0,0,0,82.3,2313,136.0,0.5,2449,63.36,33.08,0.00,0.00,0.00,0.00,3.56,5.55,0.40,0,142,32,59,0
7,10:11:12 AM,djl,"",3009,3,1455,761,0,0,0,0,83.5,2300,136.5,0.5,2437,63.28,33.09,0.00,0.00,0.00,0.00,3.63,5.60,0.40,0,142,32,59,0
8,10:12:11 AM,djl,"",3009,3,1466,763,0,0,0,0,81.0,2310,136.8,0.5,2447,63.45,33.04,0.00,0.00,0.00,0.00,3.51,5.59,0.40,0,145,32,59,0
9,10:14:27 AM,djl,"",3009,3,1426,746,0,0,0,0,78.6,2250,132.4,0.5,2383,63.37,33.14,0.00,0.00,0.00,0.00,3.49,5.56,0.40,0,145,32,137,0
10,10:15:27 AM,djl,"",3009,3,1418,740,0,0,0,0,76.7,2235,133.5,0.5,2369,63.45,33.12,0.00,0.00,0.00,0.00,3.43,5.64,0.40,0,143,32,59,0
11,10:16:25 AM,djl,"",3009,3,1426,734,0,0,0,0,79.2,2239,133.2,0.5,2373,63.70,32.77,0.00,0.00,0.00,0.00,3.54,5.62,0.40,0,150,32,59,0
12,10:17:23 AM,djl,"",3009,3,1408,748,0,0,0,0,77.5,2233,133.0,0.5,2366,63.05,33.48,0.00,0.00,0.00,0.00,3.47,5.62,0.40,0,165,32,59,0
13,10:18:22 AM,djl,"",3009,3,1428,736,0,0,0,0,79.1,2243,133.0,0.5,2377,63.65,32.83,0.00,0.00,0.00,0.00,3.52,5.60,0.40,0,165,32,59,0
14,10:19:20 AM,djl,"",3009,3,1428,738,0,0,0,0,77.6,2244,132.9,0.5,2377,63.66,32.88,0.00,0.00,0.00,0.00,3.46,5.59,0.40,0,159,32,59,0
15,10:20:19 AM,djl,"",3009,3,1424,737,0,0,0,0,78.8,2240,132.9,0.5,2373,63.59,32.89,0.00,0.00,0.00,0.00,3.52,5.60,0.40,0,151,32,58,0
16,10:21:17 AM,djl,"",3009,3,1425,745,0,0,0,0,77.8,2249,133.0,0.5,2382,63.39,33.15,0.00,0.00,0.00,0.00,3.46,5.58,0.40,0,149,32,58,0
17,10:25:12 AM,djl,"",3009,3,1399,750,0,0,0,0,81.8,2231,132.6,0.5,2364,62.70,33.63,0.00,0.00,0.00,0.00,3.67,5.61,0.40,0,143,32,87,0
18,10:26:10 AM,djl,"",3009,3,1432,729,0,0,0,0,77.0,2238,132.8,0.5,2371,64.00,32.56,0.00,0.00,0.00,0.00,3.44,5.60,0.40,0,142,32,58,0
19,10:27:09 AM,djl,"",3009,3,1425,738,0,0,0,0,80.6,2244,133.3,0.5,2378,63.53,32.88,0.00,0.00,0.00,0.00,3.59,5.61,0.40,0,143,32,58,0
20,10:28:07 AM,djl,"",3009,3,1429,738,0,0,0,0,79.9,2247,133.3,0.5,2381,63.59,32.85,0.00,0.00,0.00,0.00,3.56,5.60,0.40,0,144,32,58,0
21,10:29:06 AM,djl,"",3009,3,1431,743,0,0,0,0,77.3,2251,133.3,0.5,2385,63.57,33.00,0.00,0.00,0.00,0.00,3.43,5.59,0.40,0,145,32,58,0
22,10:30:04 AM,djl,"",3009,3,1429,744,0,0,0,0,76.8,2250,133.0,0.5,2383,63.53,33.06,0.00,0.00,0.00,0.00,3.41,5.58,0.40,0,151,32,58,0
23,10:31:02 AM,djl,"",3009,3,1438,730,0,0,0,0,79.8,2248,133.3,0.5,2382,63.99,32.46,0.00,0.00,0.00,0.00,3.55,5.60,0.40,0,153,32,58,0
24,10:32:39 AM,djl,"",3009,3,1423,743,0,0,0,0,78.1,2244,133.0,0.5,2378,63.40,33.12,0.00,0.00,0.00,0.00,3.48,5.59,0.40,0,152,32,97,0
25,10:34:25 AM,djl,"",3009,3,1442,770,0,0,0,0,80.4,2292,136.0,0.5,2428,62.91,33.58,0.00,0.00,0.00,0.00,3.51,5.60,0.39,0,156,32,80,0
26,10:35:23 AM,djl,"",3009,3,1472,754,0,0,0,0,81.1,2308,137.1,0.5,2445,63.80,32.68,0.00,0.00,0.00,0.00,3.51,5.61,0.40,0,158,32,58,0
27,10:36:21 AM,djl,"",3009,3,1476,750,0,0,0,0,81.0,2307,136.6,0.5,2444,63.98,32.51,0.00,0.00,0.00,0.00,3.51,5.59,0.40,0,162,32,58,0
28,10:37:20 AM,djl,"",3009,3,1459,755,0,0,0,0,80.7,2295,136.5,0.5,2432,63.58,32.90,0.00,0.00,0.00,0.00,3.51,5.61,0.40,0,163,32,58,0
29,10:38:19 AM,djl,"",3009,3,1465,758,0,0,0,0,81.9,2305,136.3,0.5,2442,63.57,32.87,0.00,0.00,0.00,0.00,3.56,5.58,0.40,0,161,32,58,0
30,10:39:17 AM,djl,"",3009,3,1464,752,0,0,0,0,77.9,2293,136.1,0.5,2430,63.83,32.78,0.00,0.00,0.00,0.00,3.40,5.60,0.40,0,161,32,58,0
31,10:40:16 AM,djl,"",3009,3,1465,757,0,0,0,0,78.7,2300,136.4,0.5,2437,63.68,32.90,0.00,0.00,0.00,0.00,3.42,5.60,0.40,0,161,32,58,0
32,10:41:14 AM,djl,"",3009,3,1461,762,0,0,0,0,81.7,2304,136.6,0.5,2442,63.40,33.06,0.00,0.00,0.00,0.00,3.55,5.60,0.40,0,159,32,58,0
33,11:15:30 AM,djl,"",3009,3,1420,778,0,0,0,0,80.7,2278,136.5,0.5,2415,62.33,34.13,0.00,0.00,0.00,0.00,3.54,5.65,0.40,0,152,32,92,0
34,11:16:29 AM,djl,"",3009,3,1445,766,0,0,0,0,78.5,2289,136.1,0.5,2426,63.11,33.46,0.00,0.00,0.00,0.00,3.43,5.61,0.40,0,146,32,58,0
35,11:17:27 AM,djl,"",3009,3,1475,750,0,0,0,0,81.3,2306,137.0,0.5,2444,63.95,32.52,0.00,0.00,0.00,0.00,3.53,5.61,0.40,0,141,32,58,0
36,11:18:25 AM,djl,"",3009,3,1475,755,0,0,0,0,80.8,2311,136.4,0.5,2448,63.83,32.67,0.00,0.00,0.00,0.00,3.50,5.58,0.40,0,142,32,58,0
37,11:19:23 AM,djl,"",3009,3,1461,764,0,0,0,0,80.1,2305,136.9,0.5,2443,63.36,33.16,0.00,0.00,0.00,0.00,3.48,5.61,0.40,0,141,32,58,0
38,11:20:21 AM,djl,"",3009,3,1466,757,0,0,0,0,82.0,2304,137.4,0.5,2442,63.60,32.84,0.00,0.00,0.00,0.00,3.56,5.63,0.40,0,142,32,58,0
39,11:21:20 AM,djl,"",3009,3,1455,758,0,0,0,0,80.0,2294,136.5,0.5,2431,63.45,33.07,0.00,0.00,0.00,0.00,3.49,5.62,0.40,0,143,32,58,0
40,11:22:18 AM,djl,"",3009,3,1463,760,0,0,0,0,80.7,2303,136.0,0.5,2440,63.51,32.99,0.00,0.00,0.00,0.00,3.50,5.57,0.40,0,142,32,58,0
41,11:39:53 AM,djl,"",3009,3,1446,774,0,0,0,0,80.8,2301,135.5,0.5,2437,62.84,33.65,0.00,0.00,0.00,0.00,3.51,5.56,0.40,0,141,32,80,0
42,11:40:51 AM,djl,"",3009,3,1468,759,0,0,0,0,78.7,2305,137.1,0.5,2443,63.66,32.93,0.00,0.00,0.00,0.00,3.41,5.61,0.40,0,151,32,58,0
43,11:41:49 AM,djl,"",3009,3,1468,753,0,0,0,0,83.1,2304,136.4,0.5,2441,63.69,32.70,0.00,0.00,0.00,0.00,3.61,5.59,0.40,0,149,32,58,0
